13:31:12,141 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: Nível QualidadeValor:Ótima 
13:31:12,143 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: TurnoValor:Turno 2 
13:31:16,761 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: Nível QualidadeValor:Aceitável 
13:31:16,761 02/11/2020 >> Att configurações.vi >> Atualizado Seção: Simulações Chave: TurnoValor:Turno 2 
13:31:22,730 02/11/2020 >> Main.vi >> Botão Sair pressionado 
13:31:28,883 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:48:30,325 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:48:33,113 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:48:45,293 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 1 
15:48:45,293 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:48:45,296 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:48:45,297 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 1 
15:48:55,078 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Aceitável 
15:48:55,078 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:49:08,354 02/11/2020 >> Main.vi >> Botão Sair pressionado 
15:50:22,595 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 1 
15:50:22,595 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:50:22,598 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ruim 
15:50:22,600 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 1 
15:50:29,511 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
15:50:29,511 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:50:34,073 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
15:50:34,074 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
15:50:36,057 02/11/2020 >> Main.vi >> Botão Sair pressionado 
16:00:16,065 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:00:16,064 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor:FALSE 
16:00:16,064 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:00:16,062 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 2 
16:00:16,061 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:00:16,072 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> CRIADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:00:16,071 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> CRIADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:00:16,070 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> CRIADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:00:16,068 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:00:16,069 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:00:35,586 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:00:35,588 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:00:35,589 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:00:35,590 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:00:35,591 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:00:37,388 02/11/2020 >> Main.vi >> Botão Sair pressionado 
16:00:48,715 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:00:48,714 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor:FALSE 
16:00:48,714 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:00:48,712 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 2 
16:00:48,712 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:00:48,719 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:00:48,719 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:00:48,720 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:00:48,721 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:00:48,722 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:00:58,046 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:00:58,050 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:00:58,052 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:00:58,052 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:00:58,053 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:01:05,075 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:01:05,079 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:01:05,080 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:01:05,080 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:01:05,081 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:01:06,870 02/11/2020 >> Main.vi >> Botão Sair pressionado 
16:09:55,741 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:09:55,740 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor:FALSE 
16:09:55,740 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:09:55,738 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Turno, Valor:Turno 2 
16:09:55,738 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURASeção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:09:55,745 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:09:55,746 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:09:55,748 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:09:55,750 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:09:55,753 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:10:03,273 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:10:03,279 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:10:03,280 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:10:03,281 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:10:03,282 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:10:05,368 02/11/2020 >> Main.vi >> Botão Sair pressionado 
16:12:17,240 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:12:17,240 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor:FALSE 
16:12:17,239 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:12:17,238 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:12:17,238 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:12:17,247 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:12:17,248 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:12:17,249 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:12:17,249 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:12:17,250 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:12:23,326 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:12:23,326 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:12:23,328 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:12:23,328 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:12:23,329 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:12:47,102 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:12:47,102 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:12:47,104 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:12:47,104 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor: 
16:12:47,105 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:13:00,072 02/11/2020 >> Main.vi >> Botão Sair pressionado 
16:15:44,991 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Caminhos, Chave: Arquivo de configuração, Valor: 
16:15:44,990 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor:FALSE 
16:15:44,989 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:15:44,988 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:15:44,986 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:15:44,998 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:15:44,999 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:15:44,999 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:15:45,000 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor:FALSE 
16:15:45,001 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor:D:\GitHub\Repos\Sistema-de-captura-de-imagens\Sistema de Captura de Imagens\configs.ini 
16:15:52,359 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Nível Qualidade, Valor:Ótima 
16:15:52,360 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Simulações, Chave: Turno, Valor:Turno 2 
16:15:52,361 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:15:52,361 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor:FALSE 
16:15:52,363 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> ATUALIZADO: Seção: Caminhos, Chave: Arquivo de configuração, Valor:D:\GitHub\Repos\Sistema-de-captura-de-imagens\Sistema de Captura de Imagens\configs.ini 
16:15:55,658 02/11/2020 >> Main.vi >> Botão Sair pressionado 
16:16:13,565 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Caminhos, Chave: Arquivo de configuração, Valor:D:\GitHub\Repos\Sistema-de-captura-de-imagens\Sistema de Captura de Imagens\configs.ini 
16:16:13,564 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Captura de Imagens, Chave: Mostrar imagens capturadas, Valor:FALSE 
16:16:13,563 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Captura de Imagens, Chave: Pasta com imagens, Valor: 
16:16:13,562 02/11/2020 >> Configurações.lvlib:Att configurações.vi >> LEITURA: Seção: Simulações, Chave: Turno, Valor:Turno 2 
